nome_fornecedor,cnpj,contato
"Honda Componentes do Brasil Ltda","12.345.678/0001-90","(11) 4004-1000"
"Motos & Peças Distribuidora","23.456.789/0001-01","(19) 3800-2000"
"Yamaha Peças e Acessórios S/A","34.567.890/0001-12","(11) 3300-4000"
"Distribuidora Motopeças Brasil","45.678.901/0001-23","(31) 3210-5000"
"Mobil Lubrificantes S/A","56.789.012/0001-34","(21) 2500-6000"
"Pirelli Pneus do Brasil","67.890.123/0001-45","(11) 4589-7000"
"Riffel Motopeças e Acessórios","78.901.234/0001-56","(47) 3333-8000"
"Vargas Escapamentos e Peças","89.012.345/0001-67","(41) 3010-9000"
"Brembo Sistemas de Freio","90.123.456/0001-78","(11) 2100-1000"
"Tutto Moto Equipamentos","01.234.567/0001-89","(11) 3120-1100"
