tipo_transacao,id_funcionario,id_cliente,id_moto_cliente,data_transacao,valor_total
PECAS,1,1,1,2026-02-01T10:00:00,42.50
BALCAO,2,2,,2026-02-02T11:30:00,349.90
MOTO,1,3,3,2026-02-03T14:00:00,18500.00
ORDEM_SERVICO,6,4,4,2026-02-05T16:20:00,264.90
PECAS,2,5,5,2026-02-08T09:15:00,389.00
BALCAO,10,6,,2026-02-10T15:45:00,129.90
ORDEM_SERVICO,6,7,7,2026-02-12T11:00:00,224.90
COMPRA,5,8,8,2026-02-15T13:30:00,22000.00
PECAS,1,9,9,2026-02-18T10:10:00,220.00
ORDEM_SERVICO,10,10,10,2026-02-20T17:00:00,70.00
