id_cliente,modelo,placa,chassi
1,"Harley-Davidson Iron 883","ABC1D23","9BW12345678901231"
2,"Harley-Davidson Fat Boy 114","BCD2E34","9BW12345678901232"
3,"Harley-Davidson Heritage Classic","CDE3F45","9BW12345678901233"
4,"Harley-Davidson Sportster S","DEF4G56","9BW12345678901234"
5,"Harley-Davidson Pan America 1250 Special","EFG5H67","9BW12345678901235"
6,"Harley-Davidson Street Glide Special","FGH6I78","9BW12345678901236"
7,"Harley-Davidson Road Glide Limited","GHI7J89","9BW12345678901237"
8,"Harley-Davidson Low Rider S","HIJ8K90","9BW12345678901238"
9,"Harley-Davidson Breakout 117","IJK9L01","9BW12345678901239"
10,"Harley-Davidson Nightster Special","JKL0M12","9BW12345678901240"
