nome_produto,descricao,categoria,estoque_qtd,preco_venda
"Capacete Fechado Preto M","Capacete de proteção tamanho 58","Acessórios",25,349.90
"Óleo de Motor 10W30 Semi-Sintético 1L","Óleo lubrificante para motores 4T","Consumíveis",100,42.50
"Pneu Traseiro 110/90-17","Pneu para motos Trail/Street","Pneus",15,389.00
"Kit Relação Transmissão (Corrente/Coroa/Pinhão)","Kit de transmissão em aço 1045","Peças",20,189.90
"Pastilha de Freio Dianteira","Pastilha orgânica de alta durabilidade","Freios",45,35.00
"Filtro de Óleo","Filtro de óleo para motores até 300cc","Consumíveis",60,28.00
"Bateria Selada 12V 6Ah","Bateria livre de manutenção","Elétrica",12,220.00
"Jogo de Velas de Ignição","Vela de ignição padrão","Motor",50,25.00
"Jaqueta Motociclista Impermeável G","Jaqueta de proteção contra chuva e impacto","Vestuário",8,499.90
"Luva Couro Proteção Carbono M","Luva de proteção com reforço nos nós dos dedos","Vestuário",18,129.90
